smile,value_min,value_max,value_mean
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,331.0,331.0,331.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C)CO[C@H]23)c(C)c1,218.0,218.0,218.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C)CO[C@H]23)c(C)c1,218.0,218.0,218.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C(F)(F)F)CO[C@H]23)c(C(F)(F)F)c1,233.0,233.0,233.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C(F)(F)F)CO[C@H]23)c(C(F)(F)F)c1,233.0,233.0,233.0
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,428.9,428.9,428.9
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,385.5,385.5,385.5
Cc1cc(F)c(-c2c(F)cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,399.6,399.6,399.6
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,318.6,357.6,336.79999999999995
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C)c(C)c1,385.5,390.0,387.75
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,287.0,287.0,287.0
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,327.0,327.0,327.0
Cc1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,359.0,359.0,359.0
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)c5)cc4c(=O)c3c2)c1,386.0,386.0,386.0
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2)cc1,352.0,352.0,352.0
Cc1ccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3cc4nc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)oc4cc32)cc1,491.0,491.0,491.0
Cc1cccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3cc4nc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)oc4cc32)c1,488.0,488.0,488.0
Cc1ccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3ccc4oc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)nc4c32)cc1,423.0,423.0,423.0
Cc1ccc(-c2nc3c4c(ccc3o2)C(C)(C)CC42CC(C)(C)c3cc4nc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)oc4cc32)cc1,423.0,423.0,423.0
Cc1cccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3ccc4oc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)nc4c32)c1,431.0,431.0,431.0
Cc1cccc(-c2nc3c4c(ccc3o2)C(C)(C)CC42CC(C)(C)c3cc4nc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)oc4cc32)c1,431.0,431.0,431.0
Cc1ccc(Oc2ccc(Oc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6C(C)(C)C)cc5C4=O)cc3C(F)(F)F)cc2)c(C(F)(F)F)c1,224.0,224.0,224.0
