smile,value_min,value_max,value_mean
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5ccc(-c6ccc(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)c(C(F)(F)F)c6)cc5C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,2.5,2.5,2.5
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5cc(Cl)c(-c6cc(Cl)c(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)cc6Cl)cc5Cl)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,0.6,0.6,0.6
Cc1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1C,82,82,82
Cc1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C,85.7,85.7,85.7
Cc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,48.2,48.2,48.2
Cc1cc(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1C,80,80,80
Cc1c(C)c(C)c(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c(C)c1C,83.9,83.9,83.9
Cc1cc(C2(c3cc(C)c(N4C(=O)c5ccc(Oc6ccc(C(C)(C)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)cc6)cc5C4=O)c(C)c3)c3cc(O)ccc3-c3ccc(O)cc32)cc(C)c1C,41.6,54.5,48.4
CC(=O)Oc1ccc2c(c1)C(c1cc(C)c(C)c(C)c1)(c1cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c1)c1cc(OC(C)=O)ccc1-2,80.9,83.5,82.23333333
CCC(=O)Oc1ccc2c(c1)C(c1cc(C)c(C)c(C)c1)(c1cc(C)c(N3C(=O)c4ccc(Oc5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)c(C)c1)c1cc(OC(=O)CC)ccc1-2,80.1,83.1,81.86666667
