smile,value_min,value_max,value_mean
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,51.2,51.2,51.2
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,55.6,55.6,55.6
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,36.3,36.3,36.3
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c(C)c2)(C4)C3)cc(C)c1C,51.3,51.3,51.3
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c2)(C4)C3)c1,68.5,68.5,68.5
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c2)(C4)C3)c1,55.1,55.1,55.1
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c2)(C4)C3)c1,59.2,59.2,59.2
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c2)(C4)C3)c1,49.9,49.9,49.9
Cc1ccc(N2C(=O)c3ccc(O[C@@H]4CO[C@@H]5[C@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CO[C@H]45)cc3C2=O)cc1,25.0,25.0,25.0
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)cc1,37.0,37.0,37.0
Cc1ccc(C(=O)c2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)cc1,35.0,35.0,35.0
Cc1ccc(C(c2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,34.0,34.0,34.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4)CO[C@H]23)cc1,48.0,48.0,48.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4)CO[C@H]23)cc1,48.0,48.0,48.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,30.7,30.7,30.7
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C)CO[C@H]23)c(C)c1,55.0,55.0,55.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C)CO[C@H]23)c(C)c1,55.0,55.0,55.0
Cc1ccc(O[C@H]2CO[C@@H]3[C@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C(F)(F)F)CO[C@H]23)c(C(F)(F)F)c1,51.0,51.0,51.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4C(F)(F)F)CO[C@H]23)c(C(F)(F)F)c1,51.0,51.0,51.0
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2)cc1,40.3,40.3,40.3
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,51.4,51.4,51.4
Cc1cc(F)c(-c2c(F)cc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2F)c(F)c1,54.9,54.9,54.9
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,51.0,68.1,57.333333333333336
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)cc2C)c(C)c1,39.0,56.4,47.7
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,86.2,86.2,86.2
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,24.7,24.7,24.7
Cc1ccc(-c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,18.0,18.0,18.0
Cc1cccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5cccc(-n6c(=O)c7cc8c(=O)n(C)c(=O)c8cc7c6=O)c5)cc4c(=O)c3c2)c1,26.7,26.7,26.7
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2)cc1,48.0,48.0,48.0
Cc1ccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3cc4nc(-c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)oc4cc32)cc1,50.0,50.0,50.0
Cc1cccc(-c2nc3cc4c(cc3o2)C2(CC4(C)C)CC(C)(C)c3cc4nc(-c5cccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)c5)oc4cc32)c1,51.0,51.0,51.0
