smile,value_min,value_max,value_mean
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,89.0,89.0,89.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c(C)c2)(C4)C3)cc(C)c1C,72.0,72.0,72.0
Cc1ccc(C(=O)Nc2ccc3oc4ccc(NC(=O)c5ccc(N6C(=O)c7ccc(C(c8ccc9c(c8)C(=O)N(C)C9=O)(C(F)(F)F)C(F)(F)F)cc7C6=O)cc5)cc4c(=O)c3c2)cc1,113.0,113.0,113.0
Cc1cc(C23CC4CC(C2)CC(c2cc(C)c(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c(C)c2)(C4)C3)cc(C)c1C,67.0,67.0,67.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)c6ccc(C(c7ccc8c(c7)C(=O)N(C)C8=O)(C(F)(F)F)C(F)(F)F)cc6C5=O)c2)(C4)C3)c1,87.0,87.0,87.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CC7C(=O)N(C)C(=O)C7CC6C5=O)c2)(C4)C3)c1,88.0,88.0,88.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6CCC(C7CCC8C(=O)N(C)C(=O)C8C7)CC6C5=O)c2)(C4)C3)c1,92.0,92.0,92.0
Cc1cc(F)cc(C23CC4CC(C2)CC(c2cc(F)cc(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)c2)(C4)C3)c1,105.0,105.0,105.0
Cc1ccc(N2C(=O)c3ccc(O[C@@H]4CO[C@@H]5[C@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CO[C@H]45)cc3C2=O)cc1,153.0,153.0,153.0
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)cc1,115.0,115.0,115.0
Cc1ccc(C(=O)c2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)cc1,132.0,132.0,132.0
Cc1ccc(C(c2ccc(N3C(=O)c4ccc(O[C@@H]5CO[C@@H]6[C@H](Oc7ccc8c(c7)C(=O)N(C)C8=O)CO[C@H]56)cc4C3=O)cc2)(C(F)(F)F)C(F)(F)F)cc1,79.0,79.0,79.0
Cc1ccc(O[C@@H]2CO[C@@H]3[C@@H](Oc4ccc(N5C(=O)c6ccc(O[C@@H]7CO[C@@H]8[C@H](Oc9ccc%10c(c9)C(=O)N(C)C%10=O)CO[C@H]78)cc6C5=O)cc4)CO[C@H]23)cc1,108.0,108.0,108.0
