block,count
[16*]c1ccc2c(c1)Cc1cc([16*])ccc1-2,3
[16*]c1ccc2ccc3c(N)ccc4ccc1c2c43,1
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)cc1,1
[16*]c1ccc2c(c1)C1(c3cc([16*])ccc3-2)c2ccc3ccccc3c2Oc2c1ccc1ccccc21,1
[16*]c1c2ccccc2c([16*])c2ccccc12,2
Nc1ccc2c(F)c(N)ccc2c1,1
Nc1ccc2cc(N)c(F)cc2c1,1
Nc1cc(F)c2cc(N)ccc2c1,1
[16*]c1cc(C)c(N)cc1F,1
[15*]C1C=CC([15*])(N)C(C(F)(F)F)=C1C(F)(F)F,1
[15*]C1C=C(C(F)(F)F)C([15*])(N)C=C1C(F)(F)F,1
[8*]C(F)(F)C(F)(F)C([8*])(F)F,4
[8*]C([8*])(F)C(F)(F)C(F)(F)F,10
[15*]C1([15*])CC(c2ccc(N)cc2)=CC=C1N,1
[15*]C1C=CC(N)=CC1([15*])[15*],1
[16*]c1c(N)ccc(F)c1N,1
[16*]c1ccc([16*])c(N)c1,4
[16*]c1cc(F)c(F)c(F)c1,1
[16*]c1cc(F)c([16*])c(F)c1F,1
[16*]c1ccc([16*])c(F)c1,2
[16*]c1cc(F)c([16*])cc1F,1
[16*]c1c(F)c(F)c([16*])c(F)c1F,1
[16*]c1ccc([16*])c(F)c1F,1
[16*]c1cc(F)c([16*])c(F)c1,1
[16*]c1cc(N)ccc1F,6
[16*]c1cccc(F)c1N,5
[16*]c1cc(F)ccc1N,4
[16*]c1c(N)cccc1F,3
[16*]c1ccc(F)cc1N,6
[16*]c1cc(N)cc(F)c1N,1
[8*]C(F)C=C,1
[16*]c1cc(F)c(N)c(F)c1F,3
[16*]c1cc(N)c(F)cc1F,1
[16*]c1cccc([16*])c1N,5
[8*]CF,5
Nc1ccc(C#CC#Cc2ccc(N)c(F)c2)cc1F,1
[8*]C([8*])[8*],19
[8*]C([8*])CC,4
[16*]c1c(C)c(F)c(N)c(F)c1F,1
[16*]c1c(C)c(F)c(F)c(N)c1F,1
[16*]c1c(F)cccc1F,1
[16*]c1cc(N)c(N)c(F)c1F,4
[16*]c1c(F)c(N)cc(N)c1F,2
[16*]c1ccc(N)c(F)c1N,2
[16*]c1c(F)cc(N)c(N)c1F,2
[8*]C([8*])CCN,2
[16*]c1ccc(N)c(F)c1F,12
[15*]C1CCC(C#CN)CC1,1
Nc1ccc(C2=CCC(N)(Br)C=C2)c(F)c1,1
[16*]c1cc(F)c(N)c(C)c1F,1
[8*]CCCC(N)CCCC,1
[16*]c1cc(F)cc([16*])c1N,1
[16*]c1ccc(N)c([16*])c1[16*],2
Nc1ccc2c(c1)[nH]c(=O)c1cc(N)ccc12,1
Nc1ccc2c(c1)Cc1c-2cc(Cl)c(N)c1Cl,1
NC1=Cc2ncc3cc(N)ccc3c2C(=O)C1,1
Nc1ccc2c(c1)oc(=O)c1cc(N)ccc12,1
[6*]C(C)=O,2
[14*]c1nnc(N)s1,3
Nc1ccc2c(c1)C(=O)c1cc(N)ccc1-2,1
Nc1ccc2c(c1)C(=O)c1cc(N)c(Br)cc1-2,1
[16*]c1cc(Br)c(N)c(Br)c1,1
CC1CC(C2CC(C)C(N)C(C)C2)CC(C)C1N,1
[1*]C(=O)CCN,1
[5*]N[5*],16
[14*]c1sc(N)nc1C,1
Nc1ccc2c(cnc3cc(N)ccc32)c1,1
[16*]c1cc(C)c(N)c(Br)c1,1
[14*]c1coc([14*])n1,1
[9*]n1cnc([14*])c1,1
[6*]C(N)=O,1
Nc1ccc2c(c1)nnc1cc(N)ccc12,1
[9*]n1cc(N)cn1,1
[16*]c1cc(Cl)c(N)c(Cl)c1,3
[15*]C1CCC(N)CC1,9
Nc1ccc2c(c1)Cc1cc(N)c(Br)cc1-2,1
[16*]c1ccc(N)c(Br)c1,2
[16*]c1cc(C)c(N)cc1C,4
[16*]c1cc(C)c(N)c(C)c1,13
Nc1ccc2c(c1)[nH]c1cc(N)ccc12,1
[14*]c1ccc(N)s1,2
Nc1ccc2c(c1)Cc1cc(N)c(Cl)cc1-2,1
Nc1ccc2c(c1)Cc1cc(N)ccc1-2,1
Nc1ccc2c(c1)sc1cc(N)ccc12,1
[16*]c1ccc(N)c(Cl)c1,8
[9*]n1ccc2c(N)nccc21,1
[5*]N1CCC(N)CC1,1
NC1CCC(C2CCC(N)CC2)CC1,1
[14*]c1ccc(N)cn1,3
[14*]c1ncc(N)cn1,1
[16*]c1ccc(N)nc1,1
Nc1ccc(N)s1,1
NC1=NC(N)CC1,1
NC1CCC(N)C1,1
Nc1ccc2c(c1)CCc1cc3c(cc1-2)CCc1cc(N)ccc1-3,1
[16*]c1cc(N)c2cc([16*])cc(N)c2c1,1
[16*]c1cc(N)cc2c([16*])cc(N)cc12,1
[16*]c1ccc([16*])c([16*])c1,9
[16*]c1c2cc(N)cc3ccc4c([16*])c5cc(N)cc6ccc1c(c65)c4c32,1
Nc1ccc2c(ccc3c4ccc(N)cc4ccc23)c1,1
Nc1cc(N)c2cccc3c2c1-c1ccccc1C3,1
CC1(N)C=c2ccc3cc(N)cc4ccc(c2c43)C1,1
[16*]c1c2ccccc2c(N)c2ccccc12,1
[16*]c1ccc2c3ccc(N)cc3c3ccccc3c2c1,1
[16*]c1ccc2cc([16*])ccc2c1,6
[16*]c1ccc(N)cc1C#N,2
[16*]c1c(C)cc(C)cc1C,2
[16*]c1cc(C)c(C)cc1C,1
[8*]C([8*])([8*])[8*],2
[16*]c1ccc2cc(N)ccc2c1,13
[8*]C([8*])([8*])C,5
[8*]CC([8*])([8*])C,1
[16*]c1cccc2ccccc12,9
[8*]CC([8*])[8*],1
[16*]c1c(N)ccc2cc(N)ccc12,1
Nc1cc2ccc3cccc4c(N)cc(c1)c2c34,1
[8*]C([8*])(C)C,23
[16*]c1c(N)ccc2c1ccc1cc(N)ccc12,1
[16*]c1ccc([16*])c([16*])c1[16*],3
[16*]c1c(C)cc(N)cc1C,2
[16*]c1cc([16*])c([16*])cc1[16*],4
Nc1ccc2cc(N)c3cc4ccccc4cc3c2c1,1
[16*]c1ccc(N)c(C)c1[16*],1
Cc1c(N)ccc2c(N)cccc12,1
[16*]c1cc(N)c2ccc3ccc(N)c4ccc1c2c34,1
[16*]c1ccc(C)c(C)c1,1
Nc1cccc2cc3cc4cc5c(N)cccc5cc4cc3cc12,1
[8*]CCCC[8*],1
[16*]c1ccc2cc3c(ccc4ccccc43)cc2c1,1
[16*]c1cc(N)c2ccc3ccc(N)cc3c2c1,1
[16*]c1cc2ccccc2c2ccccc12,1
NC1=CCC2=CCc3c(N)ccc4ccc1c2c34,1
[16*]c1cccc2c1ccc1cc3ccccc3cc12,1
[16*]c1ccc2c(C)cc(N)cc2c1,4
[16*]c1ccc2ccccc2c1N,1
[16*]c1cc(N)cc2ccccc12,1
[16*]c1cc2ccc3c(N)ccc4ccc(c1N)c2c43,1
[16*]c1cc(C)ccc1C,1
[16*]c1c(C)ccc(C)c1[16*],1
[16*]c1ccc2c3ccccc3c3ccccc3c2c1,1
[16*]c1ccc2ccc3c([16*])ccc4ccc1c2c43,1
