block,count
[16*]c1ccc2c(c1)C1(c3ccccc3-2)c2cc3c(cc2-c2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,7
[8*]CC([8*])C,1
[16*]c1ccc2c(c1)C1(c3cc([16*])ccc3-2)c2cc3c(cc2-c2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,1
[8*]CCCC,3
[16*]c1ccc2c(c1[16*])C(=O)OC2=O,3
Cc1ccc2c(c1)C1(c3cc(C)ccc3-2)c2cc3c(cc2-c2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,1
[8*]CCC,2
Cc1ccc2c(c1)C1(c3ccccc3-2)c2cc3c(cc2-c2cc4c(cc21)C(=O)OC4=O)C(=O)OC3=O,1
[8*]C(C)C,2
C=Cc1ccc2c(c1)C(c1ccc3c(c1)C(=O)OC3=O)(c1ccc3c(c1)C(=O)OC3=O)c1cc(C=C)ccc1-2,1
[8*]CCCCC1=CC2C(=O)OC(=O)C2C=C1,1
O=C1OC(=O)c2cc(C3(c4ccc5c(c4)C(=O)OC5=O)c4ccccc4C4CCCCC43)ccc21,1
[6*]C(=O)CCC[8*],1
[6*]C(=O)CC[8*],1
O=C1OC(=O)c2cc3c(cc21)-c1ccccc1C31c2ccccc2-c2cc3c(cc21)C(=O)OC3=O,1
[8*]C([8*])(C)C(F)F,1
[16*]c1cc(F)c(F)c(F)c1,1
[8*]CCCCC[8*],2
[16*]c1c#ccc2c1C(=O)OC2=O,1
[8*]C([8*])(C(F)F)C(F)(F)F,1
[16*]c1c2c(cc3ccccc13)C(=O)OC2=O,5
[16*]c1c(C)ccc2cc3c(cc12)C(=O)OC3=O,1
O=C1OC(=O)c2c1ccc1c2-c2c(ccc3c2C(=O)OC3=O)C1,1
[8*]CC[8*],3
[16*]c1cc([16*])c2c(c1)C(=O)OC2=O,8
O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,2
[4*]CCCCCCCCCCC[4*],1
[4*]CCCCCCCCCCCC,2
[16*]c1c2c(=O)oc(=O)c2c([16*])c2c(=O)oc(=O)c12,34
O=c1oc(=O)c2cc3sc4cc5c(=O)oc(=O)c5cc4sc3cc12,1
O=c1oc(=O)c2c3c4c(=O)oc(=O)c4c(c12)CC3,1
[6*]C(=O)C1=CCC2C(=O)OC(=O)C2=C1,1
[16*]c1c2c(=O)oc(=O)c2cc2c(=O)oc(=O)c12,16
[16*]c1ccccc1O,1
[4*]CC(F)(F)F,2
