smile,value_min,value_max,value_mean,SpDiam_A,nSpiro,nBridgehead,AATS7d,AATS7p,ATSC3c,ATSC7d,ATSC7Z,ATSC1m,ATSC3p,ATSC8i,MATS6c,MATS8c,MATS3dv,MATS3d,MATS5d,MATS2v,MATS5v,MATS1se,MATS6pe,MATS3p,MATS4i,GATS4c,GATS5c,GATS7c,GATS8c,GATS4d,GATS6d,GATS3Z,GATS5Z,GATS6v,GATS5se,GATS4i,GATS7i,nBondsS,MINdO,AETA_beta,AETA_beta_s,AETA_beta_ns_d,IC1,PEOE_VSA3,PEOE_VSA9,SlogP_VSA3,SlogP_VSA11,MDEN-33,AMID_N,piPC10,n6aHRing,nARing,n10FRing,n10FaRing,nFaHRing,nFARing,JGI2,JGI3,JGI5,JGI6
Cc1ccc2nc(-c3cccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)c3)oc2c1,120.0,120.0,120.0,4.945682904993785,0,0,3.7,1.5350793416182331,-0.1965507327399209,-0.4244946492271115,16.615933412604043,103.91743294351946,-6.349039626071062,-24.092374353621032,-0.165301759814061,-0.1634390674823734,-0.0371848424480003,-0.2066546734935499,-0.0134271809261108,0.1106849238152833,0.0190566343241484,-0.0261443140549558,-0.0723479036154086,-0.2131093573395068,0.0024450374443906,1.1202433123507938,0.9896372994955134,0.7978655074363521,1.1437267004056255,0.9821339744652628,0.9974856683093636,0.8396015987622486,1.1293163882125763,1.0376123330167926,1.29383628803627,1.001906210878435,1.0078170750910558,32,12.239077760695618,1.4871794871794872,0.6666666666666666,0.0,3.3170725101207013,9.883888251797686,27.941192241471544,0.0,0.0,0.1111111111111111,0.1653769544369402,8.980259728644514,0,2,0,0,1,2,0.0837359098228664,0.0652214714714714,0.0287547892720306,0.0202601742451366
Cc1cccc(-c2nc3ccc(N4C(=O)c5ccc(-c6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc3o2)c1,120.0,120.0,120.0,4.950647184304058,0,0,3.717948717948718,1.539042746428957,-0.255924099794371,-4.985434007134367,18.378121284185493,103.91743294351949,-6.349039626071063,-15.520292179373216,0.0471064769353017,-0.1751673843059074,-0.0371848424480003,-0.2066546734935499,0.0266609597184572,0.1106849238152833,-0.0328818785624877,-0.0261443140549558,-0.0010473854512223,-0.2131093573395069,0.0365723729377993,1.0456529364690008,1.130501926619056,0.8493598532566686,1.225066002595536,0.9821339744652628,0.9069280263354782,0.8396015987622486,1.0882608513139114,0.9445671678683852,1.2415705498213772,0.9683672777211196,1.0792346718985997,32,12.233618111762516,1.4871794871794872,0.6666666666666666,0.0,3.3170725101207013,9.883888251797686,27.941192241471544,0.0,0.0,0.1111111111111111,0.1656188687166404,9.097524180321871,0,2,0,0,1,2,0.0837359098228663,0.0652214714714714,0.0292911877394636,0.0211178740502048
Cc1cccc(-c2nc3ccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc3o2)c1,117.0,117.0,117.0,4.90498656822738,0,0,3.698275862068965,1.5435062687132326,-0.2796127365152735,-5.146796897443266,99.89916690606148,109.8338636167766,-5.729552576193841,-7.763640982829299,0.0460460228932942,-0.0614280274031864,-0.06598324933875,-0.1949779996615333,0.0187305570804904,0.0910001245678185,-0.0918919785775088,-0.0379130039986358,0.0993269857002621,-0.1928695748864717,0.0362750750636696,1.2238201180375874,1.1001781635823675,0.8041495689023449,1.1478349107829842,1.0458785503751342,0.801370545560841,0.8915169524293116,1.0976036954787671,0.9663080198901564,1.1574452663404105,0.9726872199696204,1.095122472846244,33,12.150737659292671,1.4875,0.675,0.0125,3.406613631521238,9.883888251797686,27.941192241471544,0.0,11.49902366656781,0.0999999999999999,0.1614450680043978,8.91883119382221,0,2,0,0,1,2,0.0761904761904762,0.0685998498498498,0.0261781609195402,0.0198655947227375
Cc1ccc2nc(-c3cccc(N4C(=O)c5ccc(Oc6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)c3)oc2c1,117.0,117.0,117.0,4.898847610452719,0,0,3.680672268907563,1.539397032207857,-0.2202589355970807,-0.579143924159724,97.48261993679976,109.8338636167766,-5.729552576193842,-16.147465831876037,-0.1391151131254662,-0.0066714184881844,-0.06598324933875,-0.1949779996615333,-0.0240700075811047,0.0910001245678188,-0.0364877831910191,-0.0379130039986358,0.0364732010279631,-0.1928695748864717,0.0011737050134273,1.2887371748446574,0.9762946999521902,0.7566735470330841,1.025273170691184,1.0458785503751342,0.8940112540192929,0.8915169524293116,1.1401418299651165,1.0626054080700105,1.2062139141506585,1.007193651544435,1.022657577226037,33,12.15537635720557,1.4875,0.675,0.0125,3.406613631521238,9.883888251797686,27.941192241471544,0.0,11.49902366656781,0.0999999999999999,0.161209434633234,8.777703575046544,0,2,0,0,1,2,0.0761904761904762,0.0685998498498498,0.0256417624521072,0.0189767058338486
Cc1ccc2nc(-c3cccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5C4=O)c3)oc2c1,103.0,103.0,103.0,4.892922824723019,0,0,3.506756756756757,1.482496903996804,-0.2659568311652195,-1.31061224489796,169.07999999999998,137.32409260714235,-5.501463566625584,-14.64449203356372,-0.1471050135435876,-0.0248081321804464,-0.0960114640554096,-0.1807303143579606,-0.0263733425871377,0.0453058785899759,-0.0496749376773761,-0.0368118385523112,0.0516040341748566,-0.1543433592133583,0.024363013966693,1.3443711988896716,0.8208728332509154,0.7451198505307655,1.183026212619041,1.0687891908032252,0.8653329352045388,0.9413274398410164,1.0954291001752607,1.1042666997108774,1.037065667690508,0.9872355378117784,1.033007988255594,39,12.14420160415901,1.5,0.6702127659574468,0.0212765957446808,3.2941733018324584,9.883888251797686,27.941192241471544,0.0,22.99804733313562,0.0666666666666666,0.1371959019121401,8.868102011921422,0,2,0,0,1,2,0.0713305898491084,0.0626633986928104,0.0225603864734299,0.0197746380603523
Cc1cccc(-c2nc3ccc(N4C(=O)c5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5C4=O)cc3o2)c1,103.0,103.0,103.0,4.898844497666074,0,0,3.5172413793103448,1.4846070491691516,-0.3253106320853781,-5.84591836734694,170.99999999999997,137.32409260714235,-5.501463566625585,-6.124690424065252,0.0008894455414483,-0.0712135998185602,-0.0960114640554096,-0.1807303143579606,0.0106284247819034,0.0453058785899759,-0.0949733553089959,-0.0368118385523112,0.1038455009897399,-0.1543433592133583,0.054952052847946,1.2887017138075685,0.924019775194043,0.7828191334866851,1.2925098491852844,1.068789190803225,0.787968732388239,0.9413274398410164,1.060124757863666,1.027657474332239,0.9955379052704008,0.9570834852002578,1.0919098739929172,39,12.141902656542856,1.5,0.6702127659574468,0.0212765957446808,3.2941733018324584,9.883888251797686,27.941192241471544,0.0,22.99804733313562,0.0666666666666666,0.1373964055497887,8.99778799656325,0,2,0,0,1,2,0.0713305898491084,0.0626633986928104,0.0230112721417069,0.020526774812489
Cc1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)c7ccccc7-c7ccccc76)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,116.0,116.0,116.0,5.2028017106033735,0,0,3.0157728706624605,1.286031514323779,-0.243526224633226,33.36888888888889,591.9689795918368,130.21329783649298,-3.1707581202165023,9.954467115192305,-0.1404732647377342,0.1516264575777308,-0.0298085932209578,-0.1507590729428674,-0.1228354978354978,0.0378606244451356,-0.1571083912225267,-0.0140532555457157,-0.0784118977841176,-0.0512787708033316,-0.042807174148363,1.0103625214397944,0.7127451707826503,0.8061842538374949,1.2256119219239947,1.2385215794306703,0.8106091884993618,0.7753202317175196,0.9918496467614856,1.183377791092552,0.8045152061928057,0.9096026039861396,0.8821128801563419,63,12.4588081395677,1.4154929577464788,0.6408450704225352,0.0140845070422535,3.172503516730095,4.899909730850478,44.48308569426232,17.76758750428373,22.99804733313562,0.0499999999999999,0.0614602593069609,9.455241745789245,0,3,0,0,0,3,0.0846560846560846,0.0703185703185703,0.0240148148148148,0.0217642746321586
Cc1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)OC(=O)c7ccccc76)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,127.0,127.0,127.0,5.113506083475195,0,0,3.1564885496183206,1.2996934308110952,-0.1586703432133148,23.254893794252403,443.5143690129112,110.98732665111618,-6.50446175488792,-2.549509689493252,-0.0421988514216684,0.2050743773058332,-0.0361688015586784,-0.1702576702576703,-0.0817607548376779,0.0385619165532585,-0.1261156006473721,-0.0227686296561249,-0.1143047242079758,-0.1160939116842203,-0.0695133437290219,1.165740120173052,0.8905425755866603,0.8837135450651851,1.074622577044529,1.1525351845983816,0.8483897625333612,0.776859265026144,1.037140317923792,1.1455362108744365,0.9674110487894816,0.9381737968789988,0.9251334728677084,60,12.358474114808882,1.3933823529411764,0.6507352941176471,0.0147058823529411,3.3711521912944287,9.6944469149223,44.63154671656253,22.690510799670687,22.99804733313562,0.0499999999999999,0.0641713733449161,9.170652174569163,0,3,0,0,0,3,0.0888888888888889,0.0687189054726368,0.0276057213930348,0.022938775510204
Cc1ccc(-c2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,121.0,121.0,121.0,5.051695266924627,0,0,3.165,1.2850623000515953,-0.354471055898266,11.71557093425606,391.1259515570933,93.45559416979518,-6.04886460191184,-15.849827771168444,-0.1844831413220458,0.1109567859016336,-0.0883341264081356,-0.156764734149515,-0.0269806248992844,0.0356837847538893,-0.1086312479057023,-0.028594746619709,-0.1596416208719382,-0.1292341768033663,-0.1013346549280674,1.2094397397958443,0.6653804269062777,0.7710567520278732,1.2618364537211382,1.1040590197860216,0.9357458545712626,0.8518143265505695,0.985989120759137,1.092648200678654,0.9489106998532106,0.9915319531882044,0.9878922941623388,52,12.146673202999384,1.3898305084745763,0.652542372881356,0.0254237288135593,3.322026244171476,4.899909730850478,39.06809522486554,12.35259703488695,34.49707099970343,0.0499999999999999,0.0739588492564044,8.847667566056666,0,2,0,0,0,2,0.0792079207920792,0.0645576131687242,0.0280204962243797,0.025776040912819
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)c7ccccc7-c7ccccc76)cc5)cc4C3=O)cc2)cc1,113.0,113.0,113.0,5.202798044923606,0,0,3.038732394366197,1.3471844852395565,-0.2943875157832157,23.150400000000005,381.2064,205.2922560000007,-1.455179720358347,34.64053696795878,-0.0900629348692987,0.0568890296714857,-0.0653554989814066,-0.1658175947391995,-0.1278587737088483,0.0102904576523248,-0.1223967171665606,-0.0096422187578512,0.0301711129503798,-0.0258270980898569,0.0520017123474815,1.1344223260592292,0.611126902030624,0.7968860824943361,1.3185631823647712,1.2824286602547983,0.7073394172157427,0.9097697429374462,1.0177511096883507,1.1994449670389735,0.6685754288546701,0.927572630706973,1.053036479481569,58,12.451902797087357,1.5078125,0.640625,0.0234375,2.9107833025138024,4.899909730850478,33.356182710868325,5.41499046939678,34.49707099970343,0.0499999999999999,0.0681092775060466,9.328112296459729,0,3,0,0,0,3,0.0760760760760761,0.0654444444444444,0.0178328741965105,0.0175860058309037
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(C6(c7ccc(Oc8ccc9c(c8)C(=O)N(C)C9=O)cc7)OC(=O)c7ccccc76)cc5)cc4C3=O)cc2)cc1,124.0,124.0,124.0,5.113457810350106,0,0,3.205240174672489,1.3775025442790525,-0.2095316343633045,13.684125332408366,301.1974794773962,181.7881714269859,-4.806380492127646,16.423328285300297,0.0289204099817318,0.1281478066874911,-0.0686295912241445,-0.1906350428572086,-0.0728753477710696,0.0064305989542363,-0.0842173808390522,-0.0242835005073154,0.0485163723002405,-0.0948771156503632,0.0430752854314391,1.313480491797974,0.8530495812112565,0.8989741343365497,1.129577764467814,1.1680672503634717,0.7199596095590708,0.9088343882723529,1.055795239374479,1.1684627749819654,0.933988306831888,0.9497128495242972,1.0480826897359623,55,12.351568772328536,1.4877049180327868,0.6516393442622951,0.0245901639344262,3.104571888494829,9.6944469149223,33.50464373316854,10.337913764783735,34.49707099970343,0.0499999999999999,0.0714585038860173,8.997866261705301,0,3,0,0,0,3,0.0804232804232804,0.0632183908045977,0.0214735449735449,0.0185275559499161
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(Oc5ccc(Oc6ccc(Oc7ccc8c(c7)C(=O)N(C)C8=O)cc6)cc5)cc4C3=O)cc2)cc1,118.0,118.0,118.0,4.881495997675126,0,0,3.2335329341317367,1.3888674477707486,-0.4053323470482747,3.039375,274.529375,162.4705482575008,-4.32025197200455,4.775910841965745,-0.1388144178664148,-0.0087859589633651,-0.1427295728531031,-0.1895678413622157,0.0094100430513723,-0.0047971794546017,-0.0544769218854707,-0.0300974198150379,0.0473844665032899,-0.103788277465045,0.047064270657809,1.3972735805357073,0.5380815989645072,0.7503977500347256,1.3577958659132898,1.07933627441778,0.753259136267241,1.017225821496284,0.9839225310287306,1.1351508876612952,0.7212637506537662,0.9542447848447736,1.062038642547884,47,12.13976786051904,1.5,0.6538461538461539,0.0384615384615384,2.975368517082762,4.899909730850478,27.941192241471544,0.0,45.99609466627124,0.0499999999999999,0.0838247587771608,8.600258250258593,0,2,0,0,0,2,0.0671834625322997,0.0566358024691358,0.0194819819819819,0.0208307565450422
Cc1ccc(-c2nc3cc(-n4c(=O)c5cc6c(=O)n(C)c(=O)c6cc5c4=O)ccc3o2)cc1,279.0,279.0,279.0,4.954253666646088,0,0,3.5476190476190474,1.5051582071046667,-0.1341425487948155,-2.963541666666667,36.02083333333333,82.48291611675316,-5.963781083858704,6.323404082034774,0.0882253481600561,0.0163034503421728,-0.0415949891932425,-0.1910654229329271,0.0363757153346775,0.1588815510840816,0.0876185553326426,-0.0388813375838847,0.3730656036001724,-0.2508906027625373,0.0439587810596835,1.0877013291129776,1.3037109733107728,0.9232815012461792,0.9380719684103564,0.8804111936036552,1.0541508748247757,0.8192660550458717,0.9873431941583976,0.984300716753622,1.2710690495067951,0.9593098665691916,1.027104692206131,19,12.30742057653555,1.5303030303030305,0.6818181818181818,0.0606060606060606,3.4979194693727105,9.551078168738565,27.232283132542747,7.04767198267719,0.0,0.1666666666666666,0.1958925170072104,9.75775038679005,0,0,0,0,2,0,0.0866290018832392,0.0686728395061728,0.0323356009070294,0.021605253212396
