smile,value_min,value_max,value_mean,VR2_A,nSpiro,nN,AATS8i,ATSC3c,ATSC4c,ATSC1Z,ATSC7Z,ATSC7p,AATSC2c,AATSC5c,AATSC1dv,AATSC2d,MATS3m,MATS2v,MATS1se,MATS4se,MATS1are,MATS3p,MATS1i,MATS3i,GATS3c,GATS7c,GATS1d,GATS3d,GATS4d,GATS2s,GATS6s,GATS7m,GATS3v,GATS1p,GATS6p,GATS7i,BCUTc-1l,RPCG,C1SP3,AXp-1d,AXp-2d,NssS,AETA_beta_s,AETA_beta_ns_d,ETA_dEpsilon_D,CIC2,CIC3,PEOE_VSA2,PEOE_VSA6,PEOE_VSA11,PEOE_VSA13,SMR_VSA9,SlogP_VSA8,SlogP_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA9,MDEO-11,AMID_N,n6AHRing,nG12FHRing,RotRatio,JGI3,JGI5,JGI6,JGI7,JGI10
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C(=O)Nc5cc(NC(=O)c6ccc7c(c6)C(=O)N(C)C7=O)cc(C(F)(F)F)c5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,21.0,21.0,21.0,70.89864207716445,0,4,159.18907939396777,-0.2097735599739749,0.0757982326886937,1.4547829873711835,281.10219190013066,7.8529191214582115,0.0046201646314545,0.0010565117853382,1.1162511151958587,-0.0133594619441621,-0.0330176028276119,0.080526281426955,-0.0309828891657717,-0.1663452280602418,-0.0314589916559478,-0.2255908894683065,-0.0336836590379349,-0.1386709446908883,1.0006703788453375,0.779636726305771,0.9959889996613016,1.0766597668629123,1.0089329208179174,0.4115204275638623,1.3473423723631963,0.8832338522820097,1.117072311367532,0.9184639469382656,1.0297123953011564,0.9430985999683024,-0.3820424649234566,0.0837349823570079,4,0.4232214612529578,0.2823730593581779,0,0.6541666666666667,0.0166666666666666,0.0216282642089095,1.956830077858468,0.9825165665257192,33.66713283528141,23.762552697081823,0.0,35.443078376109035,11.126902983393991,11.126902983393991,0.0,27.817257458484978,35.23174507315853,47.36447921008175,0.0,0.0,1.580306721220412,0.1409331092994559,0,0,0.0909090909090909,0.0699975417895771,0.0333953373015873,0.0264293131582851,0.0157287157287157,0.0099023696561575
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc(C)c1C,63.0,63.0,63.0,55.91665220524594,0,2,162.48344921597177,-0.7011290135727495,0.8514058182081626,21.24740740740737,165.44888888888875,-15.703398072306246,0.0020557798554817,0.0011048352911753,1.7393827160493829,0.0911022927689594,0.0164629165006184,0.2181989466325586,-0.007074346186723,0.2735998768137301,-0.0040940536965459,-0.1920450174969644,-0.0224191987563274,-0.1751626430790823,1.2992799382622977,0.9340259935139718,0.7841427006783492,1.4136780732775052,1.101995597520709,0.3963175084204466,1.0243821186502864,0.8356958009057724,1.0504257311938412,0.9640339043010656,0.8939285708877951,0.9910753114587604,-0.3820361712172405,0.1038727030480067,7,0.4225697127328293,0.2697104304914705,0,0.625,0.0,0.0,2.214952037285258,1.2930866271660575,24.078058467137765,66.73003775307771,0.0,23.628718917406022,0.0,0.0,0.0,22.732195304238942,40.29228098809091,57.461024800632856,13.847474399381248,0.0,0.7652502565742688,0.0777843212695209,0,0,0.0967741935483871,0.0874766573295985,0.0317453703703703,0.0283253968253968,0.0209973438300051,0.0065941165360894
Cc1cc(C(c2ccc(C(F)(F)F)cc2)c2cc(C)c(N3C(=O)c4ccc(C(c5ccc6c(c5)C(=O)N(C)C6=O)(C(F)(F)F)C(F)(F)F)cc4C3=O)c(C)c2)cc(C)c1C,66.0,66.0,66.0,75.50920815254905,0,2,163.02583686187504,-0.6361947353094063,0.8823046118685876,16.871314602844205,154.30697190426628,-14.272344187079009,0.0021106395109709,0.0009429321643006,1.7866875483941045,0.0704546270049158,-0.0014253790058055,0.2306055631542879,-0.0068522585870416,0.1582272574353476,-0.0054433212026597,-0.2038153880436544,-0.0160331006150492,-0.1517935735964493,1.201096936125413,0.8939866954834014,0.8726456789284014,1.3802631000043997,1.0322198699339526,0.3779340126035329,0.8605796674723524,0.8105403472968606,1.0789504904359324,0.9742823653588044,0.8887576907329366,0.9147031947608222,-0.3820452128120519,0.0952932123414848,8,0.4212802106811812,0.273653939672042,0,0.6291666666666667,0.0,0.0,2.142907589550412,1.3077732144385124,24.078058467137765,48.53093654769288,0.0,23.628718917406022,0.0,0.0,0.0,11.250837766380558,68.4518278392586,41.43421208638839,25.980208536304467,0.0,0.7652502565742688,0.0725997902545897,0,0,0.0909090909090909,0.0863954505686789,0.0335775089605734,0.0291515646258503,0.0220215884861407,0.006810189436452
Cc1cc(C(c2ccc(C(F)(F)F)cc2)c2cc(C)c(N3C(=O)c4ccc(C(=O)Nc5ccc(-c6ccc(NC(=O)c7ccc8c(c7)C(=O)N(C)C8=O)cc6C(F)(F)F)c(C(F)(F)F)c5)cc4C3=O)c(C)c2)cc(C)c1C,45.0,45.0,45.0,108.4922891936931,0,4,160.61885211734872,-0.097301179352978,-0.1639260476671564,16.061476587187556,-72.54610744039067,-8.022588451108183,0.0030454527103253,0.0011310661558434,1.5111147590320242,0.0066724653409514,-0.0477003919511539,0.1572007519906887,-0.0202104824952446,-0.09615055883023,-0.0192643781409117,-0.1975805090067666,-0.0151180152128175,-0.1312360765841297,0.973749773167,0.7459395454315476,0.8847671665351226,1.1863760548843425,1.0632548781656184,0.3819663622037834,0.9458870930229072,0.9797690954691473,1.1017644756128704,0.9342306690212292,0.9210767018521344,0.9206232068619334,-0.3820699177047601,0.0730991455998848,8,0.423821654065532,0.2789108375851207,0,0.6331168831168831,0.0129870129870129,0.0154622953899626,2.325975413851161,1.367774122488128,33.66713283528141,48.53093654769288,0.0,35.443078376109035,11.126902983393991,11.126902983393991,0.0,39.06809522486554,34.386540103711205,80.58456197618182,25.980208536304467,0.0,1.3054836638267815,0.1097040312317174,0,0,0.1058823529411764,0.0660887397464578,0.0341997792494481,0.0240464621222638,0.0175581648184387,0.0087192884888147
Cc1ccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)cc1,37.0,37.0,37.0,13.92571395722519,0,2,167.68180352843984,-0.755238224581112,0.9929312066696732,7.357355371900816,388.79305785123967,-1.8202851090499248,0.0036118924220051,0.0013846962196539,1.4310183499089508,0.0740982012639767,0.0495881773782952,0.1690176997163598,-0.0150220444233944,0.2074013733892332,-0.0133478491978939,-0.2320403981669219,-0.0474554131201368,-0.1918831528828599,1.3194380017789844,1.1283921462180282,0.8834439558132208,1.4277120776703105,0.953052495577164,0.4296868907846588,1.3442824202399033,0.5643133183634175,1.0231293091498952,0.9584450961803044,1.0617525449496643,1.048847130735504,-0.3820075757640089,0.127419645342564,3,0.4210953031758234,0.2705324749669647,0,0.6538461538461539,0.0,0.0,1.6544312447216551,0.8686261365603158,24.078058467137765,29.82891976554344,0.0,23.628718917406022,0.0,0.0,0.0,16.814289258077554,34.06528773554739,24.743857611297408,19.056471336613843,0.0,0.7652502565742688,0.1116021875122694,0,0,0.0697674418604651,0.0990629183400267,0.0326788432267884,0.0341490299823633,0.0231053358843537,0.0083292645598632
Cc1cccc(N2C(=O)c3ccc(C(c4ccc5c(c4)C(=O)N(C)C5=O)(C(F)(F)F)C(F)(F)F)cc3C2=O)c1,39.0,39.0,39.0,13.304616601656711,0,2,166.12064568002356,-0.7621045872734106,1.0442174938927276,7.357355371900818,287.6836363636363,0.0500770538165538,0.0035902995897974,0.0005742883940313,1.4310183499089508,0.0839021228326041,0.0495881773782951,0.1690176997163598,-0.0150220444233944,0.2100428928459559,-0.0133478491978939,-0.2320403981669218,-0.0474554131201368,-0.1918831528828599,1.320562634756266,1.116478802696127,0.8834439558132208,1.41991037232785,0.9875379477197588,0.4294997398318193,1.269546452456252,0.7136327093038528,1.0231293091498952,0.9584450961803044,1.1143182883600171,0.9903735489570396,-0.3820112130318848,0.1274130929437021,3,0.4210953031758234,0.27070255184981,0,0.6538461538461539,0.0,0.0,1.6544312447216551,0.8686261365603167,24.078058467137765,24.26546827384644,0.0,23.628718917406022,0.0,0.0,0.0,16.814289258077554,39.62873922724439,19.18040611960041,12.990104268152232,0.0,0.7652502565742688,0.1115922784571933,0,0,0.0697674418604651,0.1005689424364123,0.0322372372372372,0.0333161733161733,0.022651207919065,0.0108271818490282
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)cc(C)c1C,46.0,46.0,46.0,24.331609381183306,0,2,161.0982100109852,-0.1589566810817262,-0.0063641746241541,33.202900995108806,-218.65457918704672,-14.12598704649362,0.0023824608843967,-0.00145323883479,1.5808716149229296,0.0255310057907459,-0.0652507538841137,0.1622045398975197,0.0050710588014511,-0.0683301871026713,0.0244514781514574,-0.1564148407798403,-0.073047887339964,-0.1694925431871037,1.2321430504858333,0.5746891453463229,0.7045879786986704,1.3577771985096831,1.203339083068543,0.5035241664348303,1.1213221651469027,1.046878813872936,1.102163072127951,1.0401676072416337,0.8524303269468235,1.2449934420616948,-0.391311039737622,0.0879086863094476,5,0.4236734512693552,0.2645601168211647,0,0.6219512195121951,0.0,0.0,2.065025804260205,1.3521186225773318,24.078058467137765,54.59730361615449,0.0,0.0,0.0,0.0,0.0,42.38826820941943,5.687386274683562,21.590264205941462,0.0,0.0,1.0873803730028924,0.1063232990450327,0,1,0.0869565217391304,0.0720697831978319,0.0326527777777777,0.0219907530111611,0.0173493008314436,0.0067387090048486
Cc1cc(C(c2ccc(F)cc2)c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)cc(C)c1C,48.0,48.0,48.0,25.46257170400648,0,2,162.51187109356144,-0.1443640222537336,-0.0221105355628899,30.54747849553045,-154.0824759655928,-14.309842236103954,0.0025167426402997,-0.0015664695436737,1.652067761190346,0.0110417720807331,-0.0898931210843916,0.1711960227177204,-0.0013844531923735,-0.0837481688355449,0.0113737779579425,-0.1540638873002655,-0.0606664495246533,-0.129482137151565,1.199090121681714,0.5575361248311439,0.7240470375590392,1.3354195146025412,1.1667860608734013,0.4916506328473278,0.9733039804654404,0.9911763113522156,1.1075701371062885,1.0394619777353469,0.8507208697442346,1.190867741948436,-0.3913143576237053,0.085783543639081,5,0.4230388427342061,0.2658305494141786,0,0.625,0.0119047619047619,0.0,1.944451615751837,1.2903668368349497,24.078058467137765,36.39820241076966,0.0,0.0,0.0,0.0,0.0,48.20548905046533,5.687386274683562,32.717167189335456,12.13273413692322,0.0,1.0873803730028924,0.103792173716512,0,1,0.0851063829787234,0.0710978835978835,0.0336213991769547,0.0235006745314159,0.0177468011013929,0.0067980308131823
Cc1cc(C(c2cc(C)c(N3C(=O)C4CC5C(=O)N(C)C(=O)C5CC4C3=O)c(C)c2)c2cc(F)c(F)c(F)c2)cc(C)c1C,51.0,51.0,51.0,23.756833185207643,0,2,164.43291527767,-0.117308308023165,0.0122723071395586,25.56046550851746,-228.0565019396188,-14.26557142442408,0.001777035242464,-0.0019554996450377,1.8075951606201843,0.0009973576207342,-0.0537739536669714,0.1901881593883213,-0.0068341529938814,-0.0172358517770054,-7.261072727003586e-05,-0.1489919286833912,-0.0451739602817187,-0.0203708950965498,1.108417207435972,0.6713176478236736,0.730962965984175,1.2838007881055666,1.1253846153846156,0.5043813289944323,0.8372317163545729,1.0427907068054751,1.1085211710934058,1.038129133048118,0.8542467461846199,1.2364413909849474,-0.3913197197760831,0.0781463401124844,5,0.4225345472153798,0.2653356740117693,0,0.6306818181818182,0.034090909090909,0.0,1.895940739212752,1.2903668368349497,24.078058467137765,24.26546827384644,17.451662523137685,0.0,0.0,0.0,0.0,30.219454196252023,22.37774074977455,39.28644983456168,25.980208536304467,0.0,1.0873803730028924,0.0990744127944994,0,1,0.0816326530612244,0.0719135802469135,0.0372679738562091,0.0213396929653087,0.0199330266294551,0.0075465611829248
Cc1cc(C(c2ccccc2)c2cc(C)c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(C)c2)cc(C)c1C,49.0,49.0,49.0,61.37795112649216,0,2,158.8412304058875,-0.3121120362007143,0.1547947536944421,36.39160390962985,-110.54590610479087,-9.98050041428257,0.0022598231081746,-0.0012661921910697,1.4783226669934115,0.0648667414410083,-0.0691059696158296,0.152020950408977,0.0049211772170568,-0.0087308650836052,0.0241099400698196,-0.1442314436741464,-0.0569723676332305,-0.152402671720087,1.2711769276244207,0.5462515950699531,0.6877569543246824,1.3119647828589556,1.1990025084516998,0.506995546601633,1.2769159776097496,0.9843536994937032,1.0845834309856748,1.000142842341648,0.8706110097984261,1.160636834489384,-0.3911629017773121,0.0846839212819199,5,0.4184860308325703,0.2580702064729607,0,0.627906976744186,0.0,0.0,2.057174201675478,1.29257131567664,24.078058467137765,66.74934382982225,0.0,0.0,0.0,0.0,0.0,29.54662496356741,5.687386274683562,16.690354475090988,0.0,0.0,1.0873803730028924,0.1017116472037417,0,1,0.0816326530612244,0.0684413580246913,0.0325252525252525,0.0235642899134962,0.0164130967702396,0.0080442403836343
