smile,value_min,value_max,value_mean,wavelength,nSpiro,ATSC5c,ATSC8dv,ATSC6d,ATSC8d,ATSC6Z,ATSC3v,ATSC6se,ATSC8p,ATSC6i,AATSC7c,AATSC3dv,MATS7d,MATS4s,MATS2v,MATS7are,MATS3p,MATS1i,MATS4i,GATS2c,GATS3c,GATS4c,GATS3d,GATS5d,GATS6d,GATS3Z,GATS3v,GATS4v,GATS1se,GATS6se,GATS8se,GATS4are,GATS3p,GATS4p,GATS3i,GATS7i,GATS8i,BCUTdv-1l,BCUTs-1l,NdssC,NaaO,SsssCH,SdsssP,MAXdO,ETA_shape_y,AETA_beta,AETA_eta,CIC3,CIC5,PEOE_VSA6,PEOE_VSA9,SMR_VSA3,SlogP_VSA4,n6aHRing,nARing,n6ARing,n5AHRing,n6AHRing,nFaHRing,n10FARing,nG12FAHRing,JGI7,JGI8,JGI10
Cc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(O[C@H]7CC[C@H](Oc8ccc9c(c8)C(=O)N(C)C9=O)CC7)cc6C5=O)c4)cc3)cc2)c1,85.0,85.0,85.0,500.0,0,-0.3365554779967879,-144.71996054824336,5.02469135802469,-13.48148148148148,135.18263442505864,-295.1108823250522,7.422980855831019,0.1852065472201444,-31.467575497355124,0.0002057657636004,-0.0422758934543447,-0.0379722229669946,-0.0028606182296111,-0.0002800085455338,0.0488753813649146,-0.0691091076971669,-0.1055317323317099,0.0388345826694265,0.9653484759353173,1.4209049047606332,1.2714255573277702,1.1682119205298014,0.8687651940648837,0.8155108417004913,1.0997353988261331,0.9727041778376758,0.9578941511974578,0.6361007875013196,0.3807680750122221,1.365609871157507,1.3733864641735432,1.107055402411673,0.976258327603212,1.0954187386787215,1.0594010407070766,1.0103976214695196,0.6442142205873933,0.2960916775669677,4,0,-0.2227142232576924,0.0,13.712601650239094,0.3728423475258919,1.4180327868852458,0.9408639444483194,1.029033363443709,0.7021189394376437,18.19910120538483,49.94009196800369,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0163550502505528,0.0115024535025969,0.0055816648745941
Cc1ccc(-c2ccc(N3C(=O)c4ccc(O[C@H]5CC[C@@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CC5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,62.0,62.0,62.0,400.0,0,1.0061070671361971,-166.9025,-1.92,-16.96,-126.655,-35.599958079953566,-4.987513745000001,-3.332092719310072,-94.95548274835464,0.0015563289494026,0.1737562814070351,-0.0002362809380353,-0.0413883147661987,0.064799975577629,0.3891479233660723,-0.0794669079842174,-0.0498747163276121,-0.1105661667570737,0.8282680191513389,1.2226202224806555,1.1681283093206978,1.0721043489050188,0.9793531683342108,0.974759481703926,0.8043608138453224,0.9882929198214806,0.9892330518878606,0.5746653671094301,1.180892096764487,0.8871550547190116,0.9901239820750748,1.0497426794322708,1.0017655256812623,0.827991299376552,0.9602085470419632,0.7838259600836573,0.9953893677323888,1.2157422549253971,4,0,-0.463906301357796,0.0,13.495108523775526,0.416767922235723,1.25,1.056045289865788,1.1377443751081715,0.7377443751081723,23.762552697081823,51.27602800036214,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0169034280378818,0.0121769607313825,0.0073001160595857
Cc1ccc(-c2ccc(N3C(=O)c4ccc(O[C@H]5CC[C@@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CC5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,78.0,78.0,78.0,450.0,0,1.0061070671361971,-166.9025,-1.92,-16.96,-126.655,-35.599958079953566,-4.987513745000001,-3.332092719310072,-94.95548274835464,0.0015563289494026,0.1737562814070351,-0.0002362809380353,-0.0413883147661987,0.064799975577629,0.3891479233660723,-0.0794669079842174,-0.0498747163276121,-0.1105661667570737,0.8282680191513389,1.2226202224806555,1.1681283093206978,1.0721043489050188,0.9793531683342108,0.974759481703926,0.8043608138453224,0.9882929198214806,0.9892330518878606,0.5746653671094301,1.180892096764487,0.8871550547190116,0.9901239820750748,1.0497426794322708,1.0017655256812623,0.827991299376552,0.9602085470419632,0.7838259600836573,0.9953893677323888,1.2157422549253971,4,0,-0.463906301357796,0.0,13.495108523775526,0.416767922235723,1.25,1.056045289865788,1.1377443751081715,0.7377443751081723,23.762552697081823,51.27602800036214,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0169034280378818,0.0121769607313825,0.0073001160595857
Cc1ccc(-c2ccc(N3C(=O)c4ccc(O[C@H]5CC[C@@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CC5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,84.0,84.0,84.0,500.0,0,1.0061070671361971,-166.9025,-1.92,-16.96,-126.655,-35.599958079953566,-4.987513745000001,-3.332092719310072,-94.95548274835464,0.0015563289494026,0.1737562814070351,-0.0002362809380353,-0.0413883147661987,0.064799975577629,0.3891479233660723,-0.0794669079842174,-0.0498747163276121,-0.1105661667570737,0.8282680191513389,1.2226202224806555,1.1681283093206978,1.0721043489050188,0.9793531683342108,0.974759481703926,0.8043608138453224,0.9882929198214806,0.9892330518878606,0.5746653671094301,1.180892096764487,0.8871550547190116,0.9901239820750748,1.0497426794322708,1.0017655256812623,0.827991299376552,0.9602085470419632,0.7838259600836573,0.9953893677323888,1.2157422549253971,4,0,-0.463906301357796,0.0,13.495108523775526,0.416767922235723,1.25,1.056045289865788,1.1377443751081715,0.7377443751081723,23.762552697081823,51.27602800036214,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0169034280378818,0.0121769607313825,0.0073001160595857
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(O[C@H]5CC[C@@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CC5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,57.0,57.0,57.0,400.0,0,1.0072230433036864,-108.3415637860082,3.494131992074381,-7.823045267489712,-112.91601889955795,-160.09693637918556,-3.2494216186556946,2.160374699551669,-60.78152044396399,0.0011782553028121,0.1658597820683972,-0.111449007745477,0.0118229171354418,0.0488616219697762,0.121888555028063,-0.1151454291496879,-0.0635340281396921,-0.0181634330781355,0.8564847966570006,1.3606593964393645,1.1878651874177135,1.0726136394080072,0.9641122596991047,0.9079021109658136,0.8229792107395477,0.9965031900650902,0.9568694214286144,0.6023851298179176,0.991166919337316,1.1559755736317594,0.9505960815743902,1.0822363186951642,0.9196007242127898,0.8544814415669547,1.2534967974568367,0.9511722426530864,0.995389346329858,1.2168919536314386,4,0,-0.4676571266924751,0.0,13.47251645171157,0.4109424920127797,1.2547169811320755,1.045508165103116,1.1236981482549862,0.7286364198599227,11.629818560158606,45.71257650866514,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0187576435068409,0.0115739731315128,0.0079633273572667
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(O[C@H]5CC[C@@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CC5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,78.0,78.0,78.0,450.0,0,1.0072230433036864,-108.3415637860082,3.494131992074381,-7.823045267489712,-112.91601889955795,-160.09693637918556,-3.2494216186556946,2.160374699551669,-60.78152044396399,0.0011782553028121,0.1658597820683972,-0.111449007745477,0.0118229171354418,0.0488616219697762,0.121888555028063,-0.1151454291496879,-0.0635340281396921,-0.0181634330781355,0.8564847966570006,1.3606593964393645,1.1878651874177135,1.0726136394080072,0.9641122596991047,0.9079021109658136,0.8229792107395477,0.9965031900650902,0.9568694214286144,0.6023851298179176,0.991166919337316,1.1559755736317594,0.9505960815743902,1.0822363186951642,0.9196007242127898,0.8544814415669547,1.2534967974568367,0.9511722426530864,0.995389346329858,1.2168919536314386,4,0,-0.4676571266924751,0.0,13.47251645171157,0.4109424920127797,1.2547169811320755,1.045508165103116,1.1236981482549862,0.7286364198599227,11.629818560158606,45.71257650866514,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0187576435068409,0.0115739731315128,0.0079633273572667
Cc1ccc(Oc2ccc(N3C(=O)c4ccc(O[C@H]5CC[C@@H](Oc6ccc7c(c6)C(=O)N(C)C7=O)CC5)cc4C3=O)cc2C(F)(F)F)c(C(F)(F)F)c1,84.0,84.0,84.0,500.0,0,1.0072230433036864,-108.3415637860082,3.494131992074381,-7.823045267489712,-112.91601889955795,-160.09693637918556,-3.2494216186556946,2.160374699551669,-60.78152044396399,0.0011782553028121,0.1658597820683972,-0.111449007745477,0.0118229171354418,0.0488616219697762,0.121888555028063,-0.1151454291496879,-0.0635340281396921,-0.0181634330781355,0.8564847966570006,1.3606593964393645,1.1878651874177135,1.0726136394080072,0.9641122596991047,0.9079021109658136,0.8229792107395477,0.9965031900650902,0.9568694214286144,0.6023851298179176,0.991166919337316,1.1559755736317594,0.9505960815743902,1.0822363186951642,0.9196007242127898,0.8544814415669547,1.2534967974568367,0.9511722426530864,0.995389346329858,1.2168919536314386,4,0,-0.4676571266924751,0.0,13.47251645171157,0.4109424920127797,1.2547169811320755,1.045508165103116,1.1236981482549862,0.7286364198599227,11.629818560158606,45.71257650866514,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0187576435068409,0.0115739731315128,0.0079633273572667
Cc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(O[C@H]7CC[C@@H](Oc8ccc9c(c8)C(=O)N(C)C9=O)CC7)cc6C5=O)c4)cc3)cc2)c1,60.0,60.0,60.0,400.0,0,-0.3365554779967879,-144.71996054824336,5.02469135802469,-13.48148148148148,135.18263442505864,-295.1108823250522,7.422980855831019,0.1852065472201444,-31.467575497355124,0.0002057657636004,-0.0422758934543447,-0.0379722229669946,-0.0028606182296111,-0.0002800085455338,0.0488753813649146,-0.0691091076971669,-0.1055317323317099,0.0388345826694265,0.9653484759353173,1.4209049047606332,1.2714255573277702,1.1682119205298014,0.8687651940648837,0.8155108417004913,1.0997353988261331,0.9727041778376758,0.9578941511974578,0.6361007875013196,0.3807680750122221,1.365609871157507,1.3733864641735432,1.107055402411673,0.976258327603212,1.0954187386787215,1.0594010407070766,1.0103976214695196,0.6442142205873933,0.2960916775669677,4,0,-0.2227142232576924,0.0,13.712601650239094,0.3728423475258919,1.4180327868852458,0.9408639444483194,1.029033363443709,0.7021189394376437,18.19910120538483,49.94009196800369,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0163550502505528,0.0115024535025969,0.0055816648745941
Cc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(O[C@H]7CC[C@@H](Oc8ccc9c(c8)C(=O)N(C)C9=O)CC7)cc6C5=O)c4)cc3)cc2)c1,76.0,76.0,76.0,450.0,0,-0.3365554779967879,-144.71996054824336,5.02469135802469,-13.48148148148148,135.18263442505864,-295.1108823250522,7.422980855831019,0.1852065472201444,-31.467575497355124,0.0002057657636004,-0.0422758934543447,-0.0379722229669946,-0.0028606182296111,-0.0002800085455338,0.0488753813649146,-0.0691091076971669,-0.1055317323317099,0.0388345826694265,0.9653484759353173,1.4209049047606332,1.2714255573277702,1.1682119205298014,0.8687651940648837,0.8155108417004913,1.0997353988261331,0.9727041778376758,0.9578941511974578,0.6361007875013196,0.3807680750122221,1.365609871157507,1.3733864641735432,1.107055402411673,0.976258327603212,1.0954187386787215,1.0594010407070766,1.0103976214695196,0.6442142205873933,0.2960916775669677,4,0,-0.2227142232576924,0.0,13.712601650239094,0.3728423475258919,1.4180327868852458,0.9408639444483194,1.029033363443709,0.7021189394376437,18.19910120538483,49.94009196800369,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0163550502505528,0.0115024535025969,0.0055816648745941
Cc1cccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4cccc(N5C(=O)c6ccc(O[C@H]7CC[C@@H](Oc8ccc9c(c8)C(=O)N(C)C9=O)CC7)cc6C5=O)c4)cc3)cc2)c1,81.0,81.0,81.0,500.0,0,-0.3365554779967879,-144.71996054824336,5.02469135802469,-13.48148148148148,135.18263442505864,-295.1108823250522,7.422980855831019,0.1852065472201444,-31.467575497355124,0.0002057657636004,-0.0422758934543447,-0.0379722229669946,-0.0028606182296111,-0.0002800085455338,0.0488753813649146,-0.0691091076971669,-0.1055317323317099,0.0388345826694265,0.9653484759353173,1.4209049047606332,1.2714255573277702,1.1682119205298014,0.8687651940648837,0.8155108417004913,1.0997353988261331,0.9727041778376758,0.9578941511974578,0.6361007875013196,0.3807680750122221,1.365609871157507,1.3733864641735432,1.107055402411673,0.976258327603212,1.0954187386787215,1.0594010407070766,1.0103976214695196,0.6442142205873933,0.2960916775669677,4,0,-0.2227142232576924,0.0,13.712601650239094,0.3728423475258919,1.4180327868852458,0.9408639444483194,1.029033363443709,0.7021189394376437,18.19910120538483,49.94009196800369,4.899909730850478,6.923737199690624,0,3,1,2,0,0,0,0,0.0163550502505528,0.0115024535025969,0.0055816648745941
Cc1ccc2oc(-c3cccc(-n4c(=O)c5cc6c(=O)n(C)c(=O)c6cc5c4=O)c3)nc2c1,5.0,5.0,5.0,500.0,0,-0.2527999182407082,-37.89930555555557,-12.13671875,0.9105902777777772,3.994791666666682,-707.9649055737294,1.8219451197916667,-1.3842627555271931,5.768724694248725,0.0064243629786626,-0.1448688271604939,-0.0682762559325705,-0.0027329673253199,0.1588815510840817,0.3924494224809407,-0.2508906027625373,-0.1828016448326897,0.0159605222833206,0.8128976222649854,1.1101214633802654,1.1353999081117914,1.127355796687607,1.0254664972785232,1.0875260219966474,0.8192660550458717,1.0175212954705075,0.9425893942721852,0.636272008959896,0.933383184718454,1.112751986977401,1.3809616629867478,1.1769323966819265,0.9179294904489568,1.2435574194063277,1.0466636399834903,1.0595528742975997,0.9953883652020648,1.3692486650969844,0,1,0.0,0.0,13.15953826968753,0.5075921908893709,1.5303030303030305,0.7215629149845008,0.4481203125901443,0.3647869792568121,12.13273413692322,27.232283132542747,14.11817781652992,6.923737199690624,0,0,0,0,0,2,0,0,0.0137471655328798,0.0103853853853853,0.0078020610141822
